1798447577849,1812876721114,2026-12-28 08:46:17.849,2027-06-13 08:52:01.114,0,1000,600,0.95,pattern,custom,5 Minutes,104:30:89;102:-89:-30;102:30:89;102:-89:-30
1870765329790,1873809685088,2029-04-13 09:02:09.790,2029-05-18 14:41:25.088,0,1000,600,0.95,pattern,custom,2 Minutes,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1943315576941,1946791297875,2031-08-01 01:52:56.941,2031-09-10 07:21:37.875,0,1000,600,0.95,pattern,custom,2 Minutes,64:30:89;64:-89:-30;64:30:89;64:-89:-30
1990585875853,1991747438406,2033-01-29 04:31:15.853,2033-02-11 15:10:38.406,0,1000,600,0.95,pattern,custom,30 Seconds,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1721170435341,1721476122156,2024-07-16 22:53:55.341,2024-07-20 11:48:42.156,0,1000,600,0.95,pattern,custom,10 Seconds,385:30:89;385:-89:-30;385:30:89;385:-89:-30
1712759429572,1715605340224,2024-04-10 14:30:29.572,2024-05-13 13:02:20.224,0,1000,600,0.95,pattern,custom,1 Minutes,64:30:89;64:-89:-30;64:30:89;64:-89:-30
1819687646301,1866412050235,2027-08-31 04:47:26.301,2029-02-21 23:47:30.235,0,1000,600,0.95,pattern,custom,20 Minutes,52:30:89;51:-89:-30;51:30:89;51:-89:-30
1881743502833,1882441477056,2029-08-18 10:31:42.833,2029-08-26 12:24:37.056,0,1000,600,0.95,pattern,custom,15 Seconds,512:30:89;514:-89:-30;514:30:89;514:-89:-30
1704067200000,1723757545511,2024-01-01 00:00:00.000,2024-08-15 21:32:25.511,0,1000,600,0.95,pattern,custom,10 Minutes,52:30:89;51:-89:-30;51:30:89;51:-89:-30
1928772137658,1933185793005,2031-02-13 18:02:17.658,2031-04-05 20:03:13.005,0,1000,600,0.95,pattern,custom,2 Minutes,512:30:89;514:-89:-30;514:30:89;514:-89:-30
1881810536872,1882401630851,2029-08-19 05:08:56.872,2029-08-26 01:20:30.851,0,1000,600,0.95,pattern,custom,12 Seconds,321:30:89;321:-89:-30;321:30:89;321:-89:-30
1996338733426,1998764367513,2033-04-05 18:32:13.426,2033-05-03 20:19:27.513,0,1000,600,0.95,pattern,custom,1 Minutes,64:30:89;64:-89:-30;64:30:89;64:-89:-30
2001113658757,2003006429565,2033-05-31 00:54:18.757,2033-06-21 22:40:29.565,0,1000,600,0.95,pattern,custom,1 Minutes,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1753275817588,1753726921328,2025-07-23 13:03:37.588,2025-07-28 18:22:01.328,0,1000,600,0.95,pattern,custom,10 Seconds,385:30:89;385:-89:-30;385:30:89;385:-89:-30
1734448521242,1735354886698,2024-12-17 15:15:21.242,2024-12-28 03:01:26.698,0,1000,600,0.95,pattern,custom,20 Seconds,194:30:89;192:-89:-30;192:30:89;192:-89:-30
1939060971494,1976682486879,2031-06-12 20:02:51.494,2032-08-21 06:28:06.879,0,1000,600,0.95,pattern,custom,15 Minutes,69:30:89;68:-89:-30;68:30:89;68:-89:-30
1761539967007,1762972599125,2025-10-27 04:39:27.007,2025-11-12 18:36:39.125,0,1000,600,0.95,pattern,custom,30 Seconds,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1827355170014,1829536012660,2027-11-27 22:39:30.014,2027-12-23 04:26:52.660,0,1000,600,0.95,pattern,custom,1 Minutes,256:30:89;257:-89:-30;257:30:89;257:-89:-30
1981710027538,1982097698110,2032-10-18 11:00:27.538,2032-10-22 22:41:38.110,0,1000,600,0.95,pattern,custom,10 Seconds,385:30:89;385:-89:-30;385:30:89;385:-89:-30
1995222584181,1997428765458,2033-03-23 20:29:44.181,2033-04-18 09:19:25.458,0,1000,600,0.95,pattern,custom,1 Minutes,64:30:89;64:-89:-30;64:30:89;64:-89:-30
1726052023240,1733150389173,2024-09-11 10:53:43.240,2024-12-02 14:39:49.173,0,1000,600,0.95,pattern,custom,3 Minutes,84:30:89;86:-89:-30;86:30:89;86:-89:-30
1787709426180,1790747075583,2026-08-26 01:57:06.180,2026-09-30 05:44:35.583,0,1000,600,0.95,pattern,custom,2 Minutes,32:30:89;32:-89:-30;32:30:89;32:-89:-30
1969533596500,1980762830332,2032-05-30 12:39:56.500,2032-10-07 11:53:50.332,0,1000,600,0.95,pattern,custom,5 Minutes,52:30:89;51:-89:-30;51:30:89;51:-89:-30
1788893132836,1791416948179,2026-09-08 18:45:32.836,2026-10-07 23:49:08.179,0,1000,600,0.95,pattern,custom,1 Minutes,64:30:89;64:-89:-30;64:30:89;64:-89:-30
1864349991104,1865819188223,2029-01-29 02:59:51.104,2029-02-15 03:06:28.223,0,1000,600,0.95,pattern,custom,30 Seconds,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1898060539574,1899254878565,2030-02-23 07:02:19.574,2030-03-09 02:47:58.565,0,1000,600,0.95,pattern,custom,30 Seconds,256:30:89;257:-89:-30;257:30:89;257:-89:-30
2015325567412,2017707678457,2033-11-11 12:39:27.412,2033-12-09 02:21:18.457,0,1000,600,0.95,pattern,custom,1 Minutes,64:30:89;64:-89:-30;64:30:89;64:-89:-30
1913512041428,1916310649278,2030-08-21 03:07:21.428,2030-09-22 12:30:49.278,0,1000,600,0.95,pattern,custom,1 Minutes,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1945198385014,1947551662541,2031-08-22 20:53:05.014,2031-09-19 02:34:22.541,0,1000,600,0.95,pattern,custom,1 Minutes,129:30:89;128:-89:-30;128:30:89;128:-89:-30
1868993508025,1901522252978,2029-03-23 20:51:48.025,2030-04-04 08:37:32.978,0,1000,600,0.95,pattern,custom,12 Minutes,84:30:89;86:-89:-30;86:30:89;86:-89:-30
