1704067200000,1715662552228,2024-01-01 00:00:00.000,2024-05-14 04:55:52.228,0,1000,600,0.95,pattern,custom,5 Minutes,821:-75:-45;822:45:75
1996490701884,2002026093441,2033-04-07 12:45:01.884,2033-06-10 14:21:33.441,0,1000,600,0.95,pattern,custom,2 Minutes,128:45:75;128:-75:-45
1758174577322,1759398783564,2025-09-18 05:49:37.322,2025-10-02 09:53:03.564,0,1000,600,0.95,pattern,custom,30 Seconds,513:-75:-45;514:45:75
1992347869952,1993438069852,2033-02-18 13:57:49.952,2033-03-03 04:47:49.852,0,1000,600,0.95,pattern,custom,30 Seconds,257:45:75;256:-75:-45
1930373966525,1930745298957,2031-03-04 06:59:26.525,2031-03-08 14:08:18.957,0,1000,600,0.95,pattern,custom,10 Seconds,770:45:75;770:-75:-45
1710318813494,1714589815707,2024-03-13 08:33:33.494,2024-05-01 18:56:55.707,0,1000,600,0.95,pattern,custom,2 Minutes,128:-75:-45;128:45:75
1753508157500,1755438484154,2025-07-26 05:35:57.500,2025-08-17 13:48:04.154,0,1000,600,0.95,pattern,custom,1 Minutes,128:45:75;128:-75:-45
2019288925954,2019643199000,2033-12-27 09:35:25.954,2033-12-31 11:59:59.000,0,1000,600,0.95,pattern,custom,10 Seconds,770:45:75;770:-75:-45
1968715998805,1971491524218,2032-05-21 01:33:18.805,2032-06-22 04:32:04.218,0,1000,600,0.95,pattern,custom,1 Minutes,128:45:75;128:-75:-45
1900984380588,1901671035700,2030-03-29 03:13:00.588,2030-04-06 01:57:15.700,0,1000,600,0.95,pattern,custom,15 Seconds,513:45:75;514:-75:-45
1752731092485,1763768865420,2025-07-17 05:44:52.485,2025-11-21 23:47:45.420,0,1000,600,0.95,pattern,custom,5 Minutes,103:45:75;102:-75:-45
1916815339949,1927929724748,2030-09-28 08:42:19.949,2031-02-04 00:02:04.748,0,1000,600,0.95,pattern,custom,5 Minutes,103:45:75;102:-75:-45
1957318107402,1958227591125,2032-01-10 03:28:27.402,2032-01-20 16:06:31.125,0,1000,600,0.95,pattern,custom,20 Seconds,385:-75:-45;385:45:75
1823565682756,1826631338160,2027-10-15 02:01:22.756,2027-11-19 13:35:38.160,0,1000,600,0.95,pattern,custom,2 Minutes,64:45:75;64:-75:-45
1784658116227,1786295452545,2026-07-21 18:21:56.227,2026-08-09 17:10:52.545,0,1000,600,0.95,pattern,custom,1 Minutes,128:45:75;128:-75:-45
1913283354326,1915918552174,2030-08-18 11:35:54.326,2030-09-17 23:35:52.174,0,1000,600,0.95,pattern,custom,1 Minutes,128:-75:-45;128:45:75
1911432472981,1912972614008,2030-07-28 01:27:52.981,2030-08-14 21:16:54.008,0,1000,600,0.95,pattern,custom,1 Minutes,128:-75:-45;128:45:75
1711656262633,1712790910672,2024-03-28 20:04:22.633,2024-04-10 23:15:10.672,0,1000,600,0.95,pattern,custom,30 Seconds,257:-75:-45;256:45:75
1733157459890,1734030760490,2024-12-02 16:37:39.890,2024-12-12 19:12:40.490,0,1000,600,0.95,pattern,custom,20 Seconds,385:-75:-45;385:45:75
1840168656829,1843086076091,2028-04-24 05:57:36.829,2028-05-28 00:21:16.091,0,1000,600,0.95,pattern,custom,1 Minutes,513:45:75;514:-75:-45
1996328694052,2006755579767,2033-04-05 15:44:54.052,2033-08-04 08:06:19.767,0,1000,600,0.95,pattern,custom,5 Minutes,103:-75:-45;102:45:75
1725159231054,1726623912405,2024-09-01 02:53:51.054,2024-09-18 01:45:12.405,0,1000,600,0.95,pattern,custom,30 Seconds,257:-75:-45;256:45:75
1945491861674,1948371252935,2031-08-26 06:24:21.674,2031-09-28 14:14:12.935,0,1000,600,0.95,pattern,custom,1 Minutes,128:45:75;128:-75:-45
1715596427423,1716623370731,2024-05-13 10:33:47.423,2024-05-25 07:49:30.731,0,1000,600,0.95,pattern,custom,30 Seconds,257:45:75;256:-75:-45
1804674655883,1809668627245,2027-03-10 10:30:55.883,2027-05-07 05:43:47.245,0,1000,600,0.95,pattern,custom,2 Minutes,128:-75:-45;128:45:75
1788830283560,1789775822630,2026-09-08 01:18:03.560,2026-09-18 23:57:02.630,0,1000,600,0.95,pattern,custom,20 Seconds,385:45:75;385:-75:-45
1818722907265,1819879095126,2027-08-20 00:48:27.265,2027-09-02 09:58:15.126,0,1000,600,0.95,pattern,custom,30 Seconds,513:-75:-45;514:45:75
1868530340980,1869182935860,2029-03-18 12:12:20.980,2029-03-26 01:28:55.860,0,1000,600,0.95,pattern,custom,15 Seconds,513:45:75;514:-75:-45
1933975458232,1938400611126,2031-04-14 23:24:18.232,2031-06-05 04:36:51.126,0,1000,600,0.95,pattern,custom,2 Minutes,128:-75:-45;128:45:75
1741323279833,1776560681764,2025-03-07 04:54:39.833,2026-04-19 01:04:41.764,0,1000,600,0.95,pattern,custom,12 Minutes,171:-75:-45;171:45:75
