1892996452061,1893959470612,2029-12-26 16:20:52.061,2030-01-06 19:51:10.612,0,1000,600,0.95,pattern,custom,20 Seconds,194:45:75;192:-75:-45;192:45:75;192:-75:-45
1818583616232,1820297899586,2027-08-18 10:06:56.232,2027-09-07 06:18:19.586,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1979516614946,1990885376158,2032-09-23 01:43:34.946,2033-02-01 15:42:56.158,0,1000,600,0.95,pattern,custom,5 Minutes,52:45:75;51:-75:-45;51:45:75;51:-75:-45
1824688204326,1826539334267,2027-10-28 01:50:04.326,2027-11-18 12:02:14.267,0,1000,600,0.95,pattern,custom,1 Minutes,256:45:75;257:-75:-45;257:45:75;257:-75:-45
1729880170784,1731642302025,2024-10-25 18:16:10.784,2024-11-15 03:45:02.025,0,1000,600,0.95,pattern,custom,1 Minutes,129:45:75;128:-75:-45;128:45:75;128:-75:-45
1724797902732,1733155278677,2024-08-27 22:31:42.732,2024-12-02 16:01:18.677,0,1000,600,0.95,pattern,custom,3 Minutes,84:45:75;86:-75:-45;86:45:75;86:-75:-45
1930561342451,1933600521329,2031-03-06 11:02:22.451,2031-04-10 15:15:21.329,0,1000,600,0.95,pattern,custom,2 Minutes,32:45:75;32:-75:-45;32:45:75;32:-75:-45
1958751270938,1959127474263,2032-01-26 17:34:30.938,2032-01-31 02:04:34.263,0,1000,600,0.95,pattern,custom,10 Seconds,386:45:75;385:-75:-45;385:45:75;385:-75:-45
1922980210707,1966112664715,2030-12-08 17:10:10.707,2032-04-20 22:24:24.715,0,1000,600,0.95,pattern,custom,15 Minutes,273:45:75;274:-75:-45;274:45:75;274:-75:-45
1950265547908,1951698972691,2031-10-20 12:25:47.908,2031-11-06 02:36:12.691,0,1000,600,0.95,pattern,custom,30 Seconds,1028:45:75;1027:-75:-45;1027:45:75;1027:-75:-45
1709620842533,1711973449978,2024-03-05 06:40:42.533,2024-04-01 12:10:49.978,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1835166182019,1836644927327,2028-02-26 08:23:02.019,2028-03-14 11:08:47.327,0,1000,600,0.95,pattern,custom,30 Seconds,256:45:75;257:-75:-45;257:45:75;257:-75:-45
2016834361387,2018287778473,2033-11-28 23:46:01.387,2033-12-15 19:29:38.473,0,1000,600,0.95,pattern,custom,30 Seconds,129:45:75;128:-75:-45;128:45:75;128:-75:-45
1763750620439,1768874938948,2025-11-21 18:43:40.439,2026-01-20 02:08:58.948,0,1000,600,0.95,pattern,custom,2 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1936532371457,1938900666921,2031-05-14 13:39:31.457,2031-06-10 23:31:06.921,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1829767644637,1853952264565,2027-12-25 20:47:24.637,2028-09-30 18:44:24.565,0,1000,600,0.95,pattern,custom,10 Minutes,52:45:75;51:-75:-45;51:45:75;51:-75:-45
1989764294203,1991923466375,2033-01-19 16:18:14.203,2033-02-13 16:04:26.375,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
